Day,Price,Open,High,Low,close,adjusted_close,volume,Change %,RSI,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,WMA,Real Upper Band,Real Lower Band,Real Middle Band,Chaikin A/D,OBV,MOM,WILLR,ADX,CCI,Aroon Up,Aroon Down
248,"2,115.48","2,109.10","2,117.94","2,105.87",2115.48,2115.48,3199840000,0.28%,61.3121,2064.0285,2076.879,19.7062,5.5986,14.1076,94.259,95.808,2083.1404,2137.3185,1990.7385,2064.0285,1.13E+12,8.28E+11,58.3899,-1.7951,15.0606,113.7953,100,25
249,"2,113.86","2,115.30","2,119.59","2,109.89",2113.8601,2113.8601,3312340000,-0.08%,60.9019,2068.244,2080.401,20.1391,4.8252,15.3139,93.3042,90.6257,2087.8863,2142.8042,1993.6838,2068.244,1.13E+12,8.25E+11,84.3101,-4.1315,15.301,103.9372,100,20
250,"2,110.74","2,113.91","2,113.91","2,103.76",2110.74,2110.74,3408690000,-0.15%,60.087,2073.673,2083.2904,19.9999,3.7488,16.2511,89.8931,83.2456,2091.9335,2143.8805,2003.4655,2073.673,1.13E+12,8.22E+11,108.58,-6.3812,15.3194,84.2784,95,15
251,"2,104.50","2,110.88","2,112.74","2,103.75",2104.5,2104.5,3547380000,-0.30%,58.4408,2077.8355,2085.3104,19.1651,2.3312,16.8339,76.4402,55.4492,2094.8694,2144.9191,2010.7519,2077.8355,1.12E+12,8.18E+11,83.25,-10.8804,15.3366,72.3384,90,10
252,"2,117.39","2,105.23","2,117.52","2,104.50",2117.3899,2117.3899,3409490000,0.61%,60.7774,2083.9555,2088.3656,19.3209,1.9896,17.3313,65.0356,56.4121,2098.6365,2141.3195,2026.5915,2083.9555,1.13E+12,8.22E+11,122.3999,-1.5864,15.4768,81.7986,85,5
253,"2,107.78","2,115.76","2,115.76","2,098.26",2107.78,2107.78,3262300000,-0.45%,58.2091,2088.302,2090.2146,18.4562,0.8999,17.5563,52.8186,46.5945,2100.9055,2138.6222,2037.9818,2088.302,1.13E+12,8.18E+11,86.9301,-12.1904,15.3807,62.4679,80,0
254,"2,098.53","2,107.72","2,107.72","2,087.62",2098.53,2098.53,3421110000,-0.44%,55.8191,2090.727,2091.0065,16.8305,-0.5806,17.4111,50.8116,49.4281,2101.8796,2138.0194,2043.4346,2090.727,1.13E+12,8.15E+11,48.5,-25.4133,15.1528,37.1126,75,0
255,"2,101.04","2,098.54","2,104.25","2,095.22",2101.04,2101.04,3103030000,0.12%,56.3312,2093.7035,2091.9621,15.5652,-1.4767,17.0419,42.0759,30.2052,2102.8618,2135.3922,2052.0148,2093.7035,1.13E+12,8.18E+11,59.53,-23.8708,14.9363,32.0912,70,0
256,"2,071.26","2,100.91","2,100.91","2,067.27",2071.26,2071.26,3853570000,-1.42%,49.2074,2094.1405,2089.9905,12.0209,-4.0168,16.0377,32.536,17.9747,2100.7243,2134.6799,2053.6011,2094.1405,1.12E+12,8.14E+11,8.74,-62.1928,14.5634,-55.1371,65,10
257,"2,079.43","2,072.25","2,083.49","2,072.21",2079.4299,2079.4299,3349090000,0.39%,50.997,2095.3385,2088.9847,9.7588,-5.0232,14.7819,22.8887,20.4863,2099.3233,2132.5124,2058.1646,2095.3385,1.13E+12,8.17E+11,23.96,-51.6795,14.2091,-71.0545,60,5
258,"2,044.16","2,076.14","2,076.14","2,044.16",2044.16,2044.16,3668900000,-1.70%,43.9588,2095.2095,2084.7157,5.0617,-7.7762,12.8379,16.4889,11.0058,2094.4492,2133.0687,2057.3503,2095.2095,1.12E+12,8.14E+11,-2.58,-100,14.5902,-186.0052,55,0
259,"2,040.24","2,044.69","2,050.08","2,039.69",2040.24,2040.24,3406570000,-0.19%,43.2603,2093.792,2080.4799,1.0112,-9.4613,10.4726,13.3784,8.6431,2089.214,2137.2419,2050.3421,2093.792,1.12E+12,8.10E+11,-28.3501,-99.3116,15.0514,-215.9118,50,100
260,"2,065.95","2,041.10","2,066.41","2,041.10",2065.95,2065.95,3405860000,1.26%,48.8694,2093.663,2079.0961,-0.1228,-8.4763,8.3535,11.4103,14.5822,2086.5624,2137.4263,2049.8997,2093.663,1.12E+12,8.14E+11,-2.5801,-67.134,14.9393,-145.4823,45,95
261,"2,053.40","2,064.56","2,064.56","2,041.17",2053.3999,2053.3999,3498560000,-0.61%,46.5071,2091.909,2076.6488,-2.011,-8.2916,6.2806,16.0804,25.0159,2082.7278,2139.0447,2044.7733,2091.909,1.12E+12,8.10E+11,-35.0801,-82.8411,14.8329,-141.1989,40,90
262,"2,081.19","2,055.35","2,081.41","2,055.35",2081.1899,2081.1899,3295600000,1.35%,51.924,2091.119,2077.0813,-1.2506,-6.0249,4.7744,32.4959,57.8895,2081.7069,2138.4169,2043.8211,2091.119,1.13E+12,8.14E+11,-15.8,-48.0602,14.2116,-61.1876,35,85
263,"2,074.28","2,080.59","2,080.59","2,065.08",2074.28,2074.28,3221840000,-0.33%,50.5833,2089.816,2076.8145,-1.1918,-4.7729,3.5811,51.3778,71.228,2080.1032,2137.4605,2042.1714,2089.816,1.13E+12,8.10E+11,-26.0601,-56.7084,13.6213,-52.7001,30,80
264,"2,099.50","2,072.84","2,106.85","2,061.23",2099.5,2099.5,4128210000,1.22%,55.043,2089.807,2078.9751,0.8797,-2.1611,3.0408,73.173,90.4014,2081.0255,2137.4442,2042.1698,2089.807,1.13E+12,8.15E+11,-0.1799,-25.144,13.5234,1.7305,25,75
265,"2,089.27","2,098.69","2,098.69","2,085.56",2089.27,2089.27,3305220000,-0.49%,53.0007,2089.398,2079.9555,1.6766,-1.0914,2.768,81.0948,81.655,2080.9744,2136.906,2041.89,2089.398,1.13E+12,8.11E+11,-8.1799,-37.9474,13.4304,9.5177,20,70
266,"2,108.10","2,090.32","2,113.92","2,090.32",2108.1001,2108.1001,5554120000,0.90%,56.1529,2089.288,2082.636,3.7839,0.8127,2.9712,85.3653,84.0395,2082.7555,2136.6117,2041.9643,2089.288,1.13E+12,8.17E+11,-2.2,-14.3804,13.7004,53.4115,15,65
267,"2,104.42","2,107.99","2,114.86","2,104.42",2104.4199,2104.4199,3267960000,-0.17%,55.3886,2089.026,2084.7106,5.0983,1.7017,3.3966,82.3237,81.2767,2084.1967,2135.952,2042.1,2089.026,1.13E+12,8.13E+11,-5.24,-18.9864,13.9781,66.2661,10,60
268,"2,091.50","2,103.94","2,107.63","2,091.50",2091.5,2091.5,3189820000,-0.61%,52.7362,2087.827,2085.3572,5.0393,1.3142,3.7251,80.3319,75.6795,2084.4323,2133.1873,2042.4667,2087.827,1.12E+12,8.10E+11,-23.98,-35.1565,13.8216,32.4272,5,55
269,"2,061.05","2,093.10","2,097.43","2,061.05",2061.05,2061.05,3521140000,-1.46%,47.1364,2085.1865,2083.0423,2.5066,-0.9748,3.4814,67.5382,45.6584,2081.8821,2130.3255,2040.0475,2085.1865,1.12E+12,8.07E+11,-52.8101,-72.5555,13.4133,-45.0642,0,50
270,"2,056.15","2,059.94","2,067.15","2,045.50",2056.1499,2056.1499,3510670000,-0.24%,46.3035,2082.457,2080.4811,0.1028,-2.7029,2.8057,48.4234,23.9322,2079.1167,2127.687,2037.227,2082.457,1.12E+12,8.03E+11,-54.5901,-78.8514,13.3749,-95.1362,10,45
271,"2,061.02","2,055.78","2,062.83","2,052.96",2061.02,2061.02,3008550000,0.24%,47.2781,2080.283,2078.6277,-1.3931,-3.3591,1.9659,27.3892,12.5768,2077.0751,2125.245,2035.321,2080.283,1.12E+12,8.06E+11,-43.48,-72.594,13.3385,-78.0667,5,40
272,"2,086.24","2,064.11","2,088.97","2,064.11",2086.24,2086.24,2917690000,1.22%,52.0246,2078.7255,2079.3526,-0.5375,-2.0027,1.4653,23.6478,34.4343,2077.6424,2120.4818,2036.9692,2078.7255,1.12E+12,8.09E+11,-31.1499,-38.8064,12.7224,3.4245,0,35
273,"2,067.89","2,084.05","2,084.05","2,067.04",2067.8899,2067.8899,3376550000,-0.88%,48.6688,2076.731,2078.2609,-1.3248,-2.232,0.9073,30.233,43.688,2076.6105,2116.5095,2036.9525,2076.731,1.12E+12,8.06E+11,-39.8901,-62.4852,12.137,-18.0183,0,30
274,"2,059.69","2,067.63","2,067.63","2,048.38",2059.6899,2059.6899,3543270000,-0.40%,47.2355,2074.789,2076.4923,-2.5806,-2.7903,0.2097,41.7442,47.1103,2074.9875,2113.9078,2035.6702,2074.789,1.12E+12,8.02E+11,-38.8401,-73.3937,11.9215,-72.8974,65,25
275,"2,066.96","2,060.03","2,072.17","2,057.32",2066.96,2066.96,3095960000,0.35%,48.6469,2073.085,2075.5844,-2.9552,-2.5319,-0.4233,43.7698,40.5112,2074.2419,2110.4093,2035.7607,2073.085,1.12E+12,8.05E+11,-34.0801,-63.7223,11.5986,-37.5653,60,20
276,"2,080.62","2,064.87","2,086.99","2,056.52",2080.6201,2080.6201,3302970000,0.66%,51.2271,2073.553,2076.064,-2.1253,-1.3616,-0.7637,46.7457,52.6156,2074.9595,2111.0085,2036.0975,2073.553,1.12E+12,8.09E+11,9.3601,-45.55,11.115,7.6872,55,15
277,"2,076.33","2,080.79","2,089.81","2,076.10",2076.3301,2076.3301,3065510000,-0.21%,50.3901,2073.398,2076.0894,-1.7931,-0.8235,-0.9696,52.4497,64.2224,2075.224,2110.7805,2036.0155,2073.398,1.12E+12,8.06E+11,-3.0999,-51.2571,10.7234,36.0842,50,10
278,"2,081.90","2,076.94","2,086.69","2,073.30",2081.8999,2081.8999,3265330000,0.27%,51.4737,2075.285,2076.6428,-1.0681,-0.0788,-0.9893,64.257,75.9332,2076.0337,2110.3092,2040.2608,2075.285,1.12E+12,8.09E+11,37.7399,-43.8475,10.2778,30.2541,45,5
279,"2,091.18","2,081.29","2,093.31","2,074.29",2091.1799,2091.1799,3172360000,0.45%,53.264,2077.832,2078.0272,0.2524,0.9934,-0.7409,73.6719,80.8602,2077.5475,2109.5439,2046.1201,2077.832,1.13E+12,8.12E+11,50.9399,-32.1043,10.0227,50.4664,40,0
280,"2,102.06","2,091.51","2,102.61","2,091.51",2102.0601,2102.0601,3156200000,0.52%,55.2993,2079.6375,2080.3161,2.152,2.3144,-0.1623,82.7004,91.308,2079.8549,2112.5278,2046.7472,2079.6375,1.13E+12,8.15E+11,36.1101,-17.3701,10.009,104.0644,35,0
281,"2,092.43","2,102.03","2,107.65","2,092.33",2092.4299,2092.4299,2908420000,-0.46%,53.1431,2081.589,2081.4698,2.8476,2.408,0.4397,85.0236,82.9026,2081.0733,2112.5984,2050.5796,2081.589,1.13E+12,8.12E+11,39.03,-32.3387,10.1168,88.7353,30,0
282,"2,095.84","2,092.28","2,098.62","2,083.24",2095.8401,2095.8401,3301270000,0.16%,53.8143,2082.3215,2082.8384,3.6322,2.554,1.0782,82.5276,73.3723,2082.4305,2113.9447,2050.6983,2082.3215,1.13E+12,8.16E+11,14.6501,-27.4221,9.948,55.8573,25,40
283,"2,106.63","2,097.82","2,111.91","2,097.82",2106.6299,2106.6299,4013760000,0.51%,55.9177,2083.939,2085.1042,5.0662,3.1904,1.8758,75.1222,69.0917,2084.7456,2117.0268,2050.8511,2083.939,1.13E+12,8.20E+11,32.3499,-11.8659,10.1106,108.7847,20,35
284,"2,104.99","2,105.96","2,111.30","2,100.02",2104.99,2104.99,3434120000,-0.08%,55.5132,2084.2135,2086.9981,6.0011,3.3003,2.7008,72.7599,75.8158,2086.7505,2117.8989,2050.5281,2084.2135,1.13E+12,8.16E+11,5.49,-14.2303,10.2652,98.6965,15,30
285,"2,081.18","2,102.58","2,102.58","2,072.37",2081.1799,2081.1799,3627600000,-1.13%,49.9873,2083.809,2086.444,4.7659,1.652,3.1138,68.7591,61.3697,2086.4616,2117.436,2050.182,2083.809,1.13E+12,8.13E+11,-8.0901,-48.5584,9.8715,6.2319,10,25
286,"2,100.40","2,084.11","2,103.94","2,084.11",2100.3999,2100.3999,3000160000,0.92%,53.8876,2083.424,2087.7731,5.277,1.7305,3.5465,64.5101,56.3448,2088.0416,2116.0924,2050.7556,2083.424,1.13E+12,8.16E+11,-7.7002,-20.848,9.4611,61.3926,5,20
287,"2,097.29","2,102.82","2,109.64","2,094.38",2097.29,2097.29,3243410000,-0.15%,53.1812,2083.0675,2088.6795,5.3692,1.4582,3.911,56.5933,52.0653,2089.3622,2114.958,2051.177,2083.0675,1.13E+12,8.12E+11,-7.1299,-22.0146,9.0588,86.7133,0,15
288,"2,107.96","2,098.27","2,109.98","2,091.05",2107.96,2107.96,3348480000,0.51%,55.2975,2083.8905,2090.5157,6.2315,1.8564,4.3751,61.1739,75.1117,2091.7329,2117.4166,2050.3644,2083.8905,1.13E+12,8.16E+11,16.46,-5.9478,8.6279,95.8929,75,10
289,"2,112.93","2,107.21","2,120.49","2,103.19",2112.9299,2112.9299,3636670000,0.24%,56.2667,2086.4845,2092.6504,7.2325,2.2859,4.9466,68.9184,79.5781,2094.4986,2120.5639,2052.4051,2086.4845,1.13E+12,8.19E+11,51.8799,-10.0814,8.4621,124.9944,100,5
290,"2,117.69","2,112.80","2,120.92","2,112.80",2117.6899,2117.6899,3375780000,0.23%,57.2023,2089.5615,2095.0351,8.314,2.6939,5.6201,81.2227,88.9782,2097.4705,2123.2401,2055.8828,2089.5615,1.13E+12,8.23E+11,61.54,-4.4527,8.3163,133.4455,100,0
291,"2,108.92","2,119.29","2,125.92","2,107.04",2108.9199,2108.9199,3438750000,-0.41%,54.9236,2091.9565,2096.3575,8.367,2.1976,6.1695,81.3812,75.5872,2099.3142,2123.9461,2059.9669,2091.9565,1.13E+12,8.19E+11,47.8999,-21.9242,8.0008,109.4905,100,15
292,"2,114.76","2,108.35","2,116.09","2,094.89",2114.76,2114.76,3546270000,0.28%,56.1481,2093.3825,2098.1101,8.7791,2.0877,6.6914,78.2405,70.156,2101.486,2126.7391,2060.0258,2093.3825,1.13E+12,8.23E+11,28.52,-14.3925,7.8539,76.2905,95,10
293,"2,106.85","2,112.49","2,113.65","2,097.41",2106.8501,2106.8501,4074970000,-0.37%,54.0547,2095.3305,2098.9425,8.3709,1.3436,7.0273,66.113,52.5956,2102.7686,2127.0131,2063.6479,2095.3305,1.13E+12,8.19E+11,38.9602,-24.5935,7.7143,58.5775,90,5
294,"2,085.51","2,105.52","2,105.52","2,077.59",2085.51,2085.51,4509680000,-1.01%,48.8792,2096.6215,2097.6632,6.2533,-0.6192,6.8725,54.5757,40.9756,2101.8333,2124.2324,2069.0106,2096.6215,1.13E+12,8.14E+11,25.8201,-58.2276,8.1101,-38.1885,85,0
295,"2,108.29","2,087.38","2,108.41","2,087.38",2108.29,2108.29,3379390000,1.09%,53.8448,2098.688,2098.6753,6.3402,-0.4258,6.766,44.3518,39.4843,2102.9446,2123.1123,2074.2636,2098.688,1.13E+12,8.18E+11,41.3301,-25.4033,8.389,24.6711,80,5
296,"2,114.49","2,110.23","2,120.95","2,110.23",2114.49,2114.49,3091580000,0.29%,55.0944,2100.3815,2100.1815,6.8306,0.0517,6.779,45.1545,55.0035,2104.4496,2124.2505,2076.5125,2100.3815,1.13E+12,8.21E+11,33.8699,-21.3445,8.2489,113.1318,75,0
297,"2,089.46","2,112.63","2,115.24","2,088.46",2089.46,2089.46,3793950000,-1.18%,49.4095,2101.038,2099.1604,5.1403,-1.3109,6.4512,51.0513,58.6662,2103.4094,2122.8592,2079.2167,2101.038,1.13E+12,8.17E+11,13.1299,-68.0861,8.6597,-23.9783,70,40
298,"2,080.15","2,091.26","2,098.42","2,067.93",2080.1499,2080.1499,3792210000,-0.45%,47.4909,2100.9505,2097.3498,3.0148,-2.7492,5.7639,52.9482,45.1749,2101.4201,2123.0897,2078.8113,2100.9505,1.13E+12,8.13E+11,-1.75,-78.9274,9.4786,-152.9373,65,100
299,"2,088.00","2,079.96","2,092.90","2,074.99",2088,2088,3676640000,0.38%,49.2403,2100.7915,2096.4594,1.9413,-3.0581,4.9994,44.4222,29.4256,2100.1867,2123.2524,2078.3305,2100.7915,1.13E+12,8.17E+11,-3.1799,-65.3905,10.2565,-126.0115,60,95
300,"2,116.10","2,092.13","2,117.66","2,092.13",2116.1001,2116.1001,3399440000,1.35%,54.9019,2101.4935,2098.3299,3.3197,-1.3438,4.6635,41.7284,50.5848,2101.6447,2124.9258,2078.0612,2101.4935,1.13E+12,8.20E+11,14.04,-16.9337,10.2416,59.1593,55,90
301,"2,105.33","2,115.56","2,117.69","2,104.58",2105.3301,2105.3301,2992670000,-0.51%,52.5377,2102.1385,2098.9966,3.5027,-0.9286,4.4313,49.3221,67.9559,2102.01,2125.2452,2079.0317,2102.1385,1.13E+12,8.17E+11,12.9001,-35.5059,10.2265,58.0679,50,85
302,"2,099.12","2,102.87","2,105.06","2,085.57",2099.1201,2099.1201,3139520000,-0.29%,51.1996,2102.3025,2099.0084,3.1108,-1.0564,4.1672,64.9241,76.2317,2101.7226,2125.2743,2079.3307,2102.3025,1.13E+12,8.14E+11,3.28,-46.2145,10.6312,-43.2141,45,80
303,"2,098.48","2,099.62","2,110.19","2,096.04",2098.48,2098.48,3374260000,-0.03%,51.0585,2101.895,2098.958,2.7172,-1.16,3.8772,69.4907,64.2847,2101.3585,2124.8344,2078.9556,2101.895,1.13E+12,8.11E+11,-8.1499,-47.3184,10.8633,-1.6838,40,75
304,"2,121.10","2,100.43","2,121.45","2,100.43",2121.1001,2121.1001,3225740000,1.08%,55.6092,2102.7005,2101.0668,4.1823,0.2441,3.9382,70.9186,72.2393,2103.1876,2127.1028,2078.2982,2102.7005,1.13E+12,8.14E+11,16.1101,-8.3115,10.7601,93.8409,35,70
305,"2,122.73","2,122.07","2,123.89","2,116.79",2122.73,2122.73,3092080000,0.08%,55.9201,2104.778,2103.13,5.4126,1.1795,4.2331,73.398,83.6699,2105.0952,2128.5649,2080.9911,2104.778,1.13E+12,8.17E+11,41.55,-5.5008,10.5933,132.4124,30,65
306,"2,129.20","2,121.30","2,131.78","2,120.01",2129.2,2129.2,2888190000,0.30%,57.1733,2106.218,2105.6128,6.8309,2.0782,4.7527,84.238,96.8049,2107.4211,2132.1598,2080.2763,2106.218,1.14E+12,8.20E+11,28.8,-4.0408,10.2132,154.9132,100,60
307,"2,127.83","2,129.45","2,133.02","2,124.50",2127.8301,2127.8301,3296030000,-0.06%,56.8133,2107.745,2107.7288,7.755,2.4019,5.3531,90.9755,92.4517,2109.4794,2134.9686,2080.5215,2107.745,1.13E+12,8.17E+11,30.54,-7.9735,9.8172,144.24,100,55
308,"2,125.85","2,127.79","2,134.72","2,122.59",2125.8501,2125.8501,3025880000,-0.09%,56.2742,2108.6395,2109.4546,8.2327,2.3036,5.929,91.365,84.8383,2111.2036,2136.9851,2080.294,2108.6395,1.13E+12,8.14E+11,17.8901,-13.2802,9.4941,123.6629,100,50
309,"2,130.82","2,125.55","2,134.28","2,122.95",2130.8201,2130.8201,3070460000,0.23%,57.3437,2109.534,2111.4894,8.9095,2.3844,6.5251,85.577,79.4411,2113.3161,2139.4503,2079.6177,2109.534,1.13E+12,8.17E+11,17.8901,-5.839,9.1871,119.7351,95,45
310,"2,126.06","2,130.36","2,132.15","2,126.06",2126.0601,2126.0601,2571860000,-0.22%,55.9637,2109.9525,2112.8771,8.9586,1.9468,7.0118,76.2583,64.4955,2114.89,2140.5401,2079.3649,2109.9525,1.13E+12,8.14E+11,8.3701,-12.9659,8.8955,103.6918,90,40
311,"2,104.20","2,125.34","2,125.34","2,099.18",2104.2,2104.2,3342130000,-1.03%,50.1318,2109.7165,2112.0507,7.1512,0.1115,7.0397,62.8098,44.4929,2114.3421,2140.405,2079.028,2109.7165,1.13E+12,8.11E+11,-4.72,-45.6955,9.3505,1.1425,85,35
312,"2,123.48","2,105.13","2,126.22","2,105.13",2123.48,2123.48,3127960000,0.92%,54.5308,2110.1525,2113.1392,7.1916,0.1215,7.0701,50.0659,41.2092,2115.6529,2141.3587,2078.9464,2110.1525,1.13E+12,8.14E+11,8.72,-16.8288,9.752,46.4366,80,30
313,"2,120.79","2,122.27","2,122.27","2,112.86",2120.79,2120.79,2980350000,-0.13%,53.8334,2110.8495,2113.8678,6.9267,-0.1147,7.0414,44.5747,48.0219,2116.666,2142.3508,2079.3483,2110.8495,1.13E+12,8.11E+11,13.9399,-20.8563,10.1335,44.0551,75,25
314,"2,107.39","2,120.66","2,120.66","2,104.89",2107.3899,2107.3899,3927390000,-0.63%,50.45,2111.9435,2113.2509,5.5713,-1.1761,6.7474,46.9484,51.614,2116.3365,2141.2951,2082.5919,2111.9435,1.13E+12,8.07E+11,21.8799,-40.9194,10.7005,-3.4641,70,20
315,"2,111.73","2,108.64","2,119.15","2,102.54",2111.73,2111.73,3011710000,0.21%,51.4894,2112.1155,2113.1061,4.7921,-1.5642,6.3563,47.9766,44.2937,2116.3162,2141.4198,2082.8113,2112.1155,1.13E+12,8.10E+11,3.4399,-34.4213,11.2986,-5.6579,65,15
316,"2,109.60","2,110.41","2,117.59","2,099.14",2109.6001,2109.6001,3049350000,-0.10%,50.9374,2111.871,2112.7721,3.9571,-1.9194,5.8765,44.1849,36.647,2116.0766,2141.1735,2082.5685,2111.871,1.13E+12,8.07E+11,-4.8899,-37.6102,11.9539,-18.3397,60,10
317,"2,114.07","2,110.64","2,121.92","2,109.61",2114.0701,2114.0701,3099980000,0.21%,52.0725,2113.1015,2112.8958,3.6143,-1.8097,5.424,43.6012,49.8628,2116.2861,2140.5442,2085.6589,2113.1015,1.13E+12,8.10E+11,24.6101,-30.9176,12.3941,16.9348,55,5
318,"2,095.84","2,112.35","2,112.89","2,093.23",2095.8401,2095.8401,3200050000,-0.86%,47.3679,2113.886,2111.2714,1.8504,-2.8589,4.7093,41.3114,37.4244,2114.6421,2138.239,2089.5331,2113.886,1.13E+12,8.07E+11,15.6902,-65.0927,13.2265,-92.409,50,0
319,"2,092.83","2,095.09","2,100.99","2,085.67",2092.8301,2092.8301,3243690000,-0.14%,46.6357,2114.1275,2109.5151,0.2072,-3.6017,3.8089,39.4733,31.1328,2112.6368,2137.5259,2090.7291,2114.1275,1.13E+12,8.04E+11,4.8301,-85.2288,14.1889,-155.5713,45,0
320,"2,079.28","2,092.34","2,093.01","2,079.11",2079.28,2079.28,2917150000,-0.65%,43.4524,2112.2865,2106.6356,-2.1635,-4.7779,2.6144,26.102,9.7489,2109.318,2140.1437,2084.4294,2112.2865,1.13E+12,8.01E+11,-36.8201,-99.6944,15.2459,-189.9294,40,100
321,"2,080.15","2,079.07","2,085.62","2,072.14",2080.1499,2080.1499,3034580000,0.04%,43.7121,2111.0275,2104.1131,-3.9269,-5.233,1.3061,17.6539,12.08,2106.2574,2142.117,2079.9381,2111.0275,1.13E+12,8.04E+11,-25.1802,-87.2004,16.3962,-182.7266,35,100
322,"2,105.20","2,081.12","2,108.50","2,081.12",2105.2,2105.2,3414320000,1.20%,50.589,2111.3315,2104.2166,-3.2653,-3.6572,0.3918,18.1226,32.5389,2105.7023,2142.0662,2080.5969,2111.3315,1.13E+12,8.07E+11,6.0798,-47.1716,16.5557,-75.0373,30,95
323,"2,108.86","2,106.24","2,115.02","2,106.24",2108.8601,2108.8601,3128600000,0.17%,51.5003,2111.8505,2104.6589,-2.4179,-2.2478,-0.1701,35.1901,60.9515,2105.467,2142.0454,2081.6557,2111.8505,1.13E+12,8.10E+11,10.3801,-41.3228,16.4747,-9.9168,25,90
324,"2,094.11","2,107.43","2,107.43","2,091.33",2094.1101,2094.1101,2719400000,-0.70%,47.7633,2110.501,2103.6542,-2.903,-2.1863,-0.7167,55.3857,72.6666,2103.7774,2141.3276,2079.6744,2110.501,1.13E+12,8.07E+11,-26.99,-64.8926,16.7619,-75.7245,20,85
325,"2,084.43","2,091.34","2,091.34","2,072.49",2084.4299,2084.4299,3061570000,-0.46%,45.4833,2108.586,2101.8233,-4.0222,-2.6444,-1.3778,62.9318,55.1774,2101.2944,2140.8605,2076.3116,2108.586,1.13E+12,8.04E+11,-38.3,-80.3611,17.4326,-137.275,15,80
326,"2,096.29","2,084.26","2,097.40","2,082.10",2096.29,2096.29,2919900000,0.57%,48.6449,2106.9405,2101.2964,-3.9071,-2.0235,-1.8836,57.7101,45.2861,2100.1234,2138.1825,2075.6985,2106.9405,1.13E+12,8.07E+11,-32.9099,-61.4092,17.8519,-78.2434,10,75
327,"2,100.44","2,097.40","2,106.79","2,088.86",2100.4399,2100.4399,3222240000,0.20%,49.7189,2105.571,2101.2148,-3.4414,-1.2462,-2.1952,50.1923,50.1134,2099.5043,2135.3995,2075.7426,2105.571,1.13E+12,8.11E+11,-27.3901,-54.7779,17.9245,-37.318,5,70
328,"2,121.24","2,101.58","2,126.65","2,101.58",2121.24,2121.24,3520360000,0.99%,54.7155,2105.3405,2103.122,-1.378,0.6537,-2.0317,55.3209,70.5633,2100.9966,2134.6045,2076.0766,2105.3405,1.13E+12,8.14E+11,-4.6101,-20.9849,17.3771,63.0462,0,65
329,"2,109.99","2,121.06","2,121.64","2,109.45",2109.99,2109.99,4449810000,-0.53%,51.7857,2104.299,2103.7761,-0.6431,1.1109,-1.754,65.2221,74.9896,2101.4394,2131.2531,2077.3449,2104.299,1.13E+12,8.10E+11,-20.8301,-36.927,16.8571,55.0957,0,60
330,"2,122.85","2,112.50","2,129.87","2,112.50",2122.8501,2122.8501,3030020000,0.61%,54.7042,2104.1385,2105.5926,0.9658,2.1759,-1.2101,75.6904,81.5184,2103.2062,2130.6062,2077.6708,2104.1385,1.13E+12,8.13E+11,-3.21,-12.16,16.1208,107.1536,0,55
331,"2,124.20","2,123.16","2,128.03","2,119.89",2124.2,2124.2,3091190000,0.06%,55.0051,2105.1385,2107.3648,2.3231,2.8265,-0.5034,78.9157,80.2392,2105.1168,2133.0138,2077.2632,2105.1385,1.13E+12,8.16E+11,20,-9.8218,15.4212,110.1838,95,50
332,"2,108.58","2,123.65","2,125.10","2,108.58",2108.5801,2108.5801,3102480000,-0.74%,50.8871,2104.3935,2107.4805,2.114,2.0939,0.02,75.7216,65.4073,2105.4445,2131.0374,2077.7496,2104.3935,1.13E+12,8.13E+11,-14.8999,-36.8785,15.0724,55.3925,90,45
333,"2,102.31","2,109.96","2,116.04","2,101.78",2102.3101,2102.3101,3214610000,-0.30%,49.3268,2103.4695,2106.9881,1.4258,1.1246,0.3012,61.0827,37.6014,2105.2461,2129.0348,2077.9043,2103.4695,1.12E+12,8.09E+11,-18.48,-47.7394,14.9207,16.7915,85,40
334,"2,101.49","2,102.62","2,108.92","2,095.38",2101.49,2101.49,5025470000,-0.04%,49.1194,2103.1745,2106.4644,0.8051,0.4031,0.402,39.2636,14.782,2105.0576,2128.6881,2077.6609,2103.1745,1.12E+12,8.04E+11,-5.8999,-49.1599,14.9411,-9.8055,80,35
335,"2,057.64","2,098.63","2,098.63","2,056.64",2057.6399,2057.6399,3678960000,-2.09%,39.7208,2100.47,2101.8145,-3.1885,-2.8724,-0.3161,19.7948,7.001,2100.721,2132.4345,2068.5055,2100.47,1.12E+12,8.01E+11,-54.0901,-98.6344,15.7755,-172.7875,75,100
336,"2,063.11","2,061.19","2,074.28","2,056.32",2063.1101,2063.1101,4078540000,0.27%,41.1982,2098.1455,2098.1284,-5.8446,-4.4228,-1.4218,10.4819,9.6628,2097.1629,2133.6785,2062.6125,2098.1455,1.12E+12,8.05E+11,-46.49,-90.7681,16.574,-175.6522,70,100
337,"2,077.42","2,067.00","2,082.78","2,067.00",2077.4199,2077.4199,3727260000,0.69%,44.9159,2096.313,2096.1561,-6.7175,-4.2366,-2.481,10.7328,15.5347,2095.189,2132.1509,2060.4751,2096.313,1.12E+12,8.09E+11,-36.6501,-71.3123,17.0384,-105.5688,65,95
